Date,,Race,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Win,
20/11/06,Maryborough,7,5,5.5,8,5.01,21,34,26,9,13,3.7,7,,,1,
21/11/06,Ballarat,7,3,4,34,13,999,4.01,13.01,11,999.1,21,,,,6,
30/06/07,Ballarat,4,26,5.5,11,13,34,15,13.01,7,9,3.2,5.51,,,10,
7/09/06,Ballarat,5,13,15,1.8,2.7,99,26,34,26.01,8,51,41,,,9,
13/09/06,Ararat,5,13,16,34,51,11,5.5,2,21,4,21.1,,,,5,
3/10/06,Terang,4,26,1.7,34,8,5.5,11,26.1,26.2,21,13,999,41,,2,
3/10/06,Terang,6,21,2.5,5.5,26,5,7,26.01,6,13,,,,,8,
11/10/06,Geelong,4,25,16,11,13,9,5,3.7,5.5,11.01,4.5,34,,,5,
20/10/06,Moonee Valley,6,25,13,6,4,21,26,7,5,9,11,6.01,,,11,
25/10/06,Cranbourne,7,13,2.7,3.2,999,999.1,5.5,8,34,6,13.1,,,,2,
27/10/06,Ballarat,5,8,34,16,8.01,13,13.1,26,21,1.8,13.2,10,,,9,
4/11/06,Moonee Valley,7,9,9.01,15,10,1.7,6,41,11,,,,,,7,
15/11/06,Launceston,5,4.6,7,11,9,11.01,4.61,15,17,4.62,51,51.1,51.2,,1,
24/11/06,Harold Park,4,9,16,15,8,9.01,3.8,13,11,3.5,26,,,,3,
24/11/06,Harold Park,7,2.7,4.5,21,9,101,13,13.1,7.5,21.1,5,,,,1,
24/11/06,Stawell,4,4,26,16,1.8,4.2,7,26.1,,,,,,,1,
24/11/06,Stawell,6,26,5.5,999,34,21,3.5,26.1,9,11,7,,,,1,
24/11/06,Kilmore,5,34,999,15,6,7,8,7.01,13,11,15.1,3,11.1,,5,
2/05/11,Bendigo,5,51,9,26,67,25,26.01,67.1,4,1.6,9.1,26.1,26.2,,9,
3/05/11,Terang,5,34,15,10,26,16,8,3.2,3.21,10.1,4.5,67,,,3,
4/05/11,Mildura,7,21,2,9,9.1,13,8,15,26,21.1,5,999,,,2,
5/05/11,Melton,5,999,11,34,8,13,999.1,21,5.5,4,6,26,5.51,8.1,8,
6/05/11,Maryborough,5,26,999,15,8,51,10,34,4,4.1,4.2,11,8.1,,10,
6/05/11,Melton,7,31,14,6,101,4,61,14.1,16,5,2.3,26,14.2,,3,
7/05/11,Albion Park,6,7,17,7.5,8,6.5,11,6,11.1,5,9,,,,7,
8/05/11,Kilmore,4,26,11,25,34,5,3.2,21,7,21.1,3.21,17,17.1,,5,
8/05/11,Kilmore,5,13,9,2.5,25,21,17,5,5.1,9.1,26,34,17.1,,2,
8/05/11,Kilmore,6,21,21.1,11,3,26,34,25,5.5,7,6,26.1,4.5,,12,
10/05/11,Albion Park,7,4.5,17,16,3.5,3,17.1,8,31,21,16.1,,,,5,
10/05/11,Menangle,4,34,3.3,12,4,26,3,51,11,41,26.1,,,,4,
10/05/11,Menangle,5,41,12,12.1,5.5,4.8,4.3,21,4.31,31,7.5,,,,6,
10/05/11,Menangle,6,3.5,6,15,26,6.1,5,11,34,21,7,,,,2,
10/05/11,Menangle,7,8.5,8.51,1.8,51,9,12,51.1,31,8.52,11,,,,6,
11/05/11,Horsham,6,4.5,7,2.5,4.2,11,4.51,,,,,,,,3,
11/05/11,Redcliffe,4,4.3,5,11,5.5,5.1,5.51,9,7,,,,,,5,
11/05/11,Bathurst,5,8,3.2,10,17,26,3.21,26.1,26.2,13,4,,,,6,
11/05/11,Bathurst,6,5,13,5.1,16,26,999,31,2.8,3.4,26.1,21,,,8,
11/05/11,Bendigo,5,3.5,4,34,3.51,13,999,34.1,34.2,26,10,11,9,,11,
13/05/11,Warragul,4,2.3,34,5,17,15,100,999,2.5,16,67,,,,8,
13/05/11,Warragul,6,1.8,5,15,9,34,67,21,21.1,5.1,17,,,,4,
13/05/11,Melton,6,4,6,12,7.5,7.51,3.6,14,6.1,16,16.1,21,12.1,19,1,
13/05/11,Bankstown,4,1.6,17,101,12,26,34,17.1,9,101.1,5.5,,,,10,
13/05/11,Bankstown,6,21,4.8,16,3.8,8.5,16.1,7.5,6.5,6.51,17,,,,2,
14/05/11,Shepparton,6,4,100,6,41,8,26,15,1.8,10,,,,,8,
14/05/11,Menangle,5,10,4.4,7,5,3.9,9,8.5,12,8,,,,,5,
14/05/11,Menangle,6,10,9,26,6.5,3.7,4.6,19,6.51,4,,,,,4,
15/05/11,Mildura,4,11,8,17,4,3.5,3.51,11.1,21,25,41,,,,1,
15/05/11,Mildura,6,1.6,11,9,11.1,13,25,13.1,13.2,26,21,26.1,,,1,
16/05/11,Geelong,6,10,1.5,17,15,25,34,34.1,41,15.1,11,5,,,10,
17/05/11,Terang,4,26,5.5,13,2,26.1,26.2,26.3,9,8,26.4,7,25,,9,
18/05/11,Kilmore,7,2.2,8,13,4,26,999,10,17,26.1,11,13.1,34,,1,
19/05/11,Melton,5,10,26,11,3.1,11.1,4,51,5,11.2,999,17,999.1,11.3,4,
19/05/11,Melton,7,3,15,13,26,3.2,26.1,67,21,13.1,3.21,67.1,,,1,
19/05/11,Shepparton,4,3.2,2.7,26,4.5,13,15,999,26.1,26.2,15.1,15.2,21,,2,
20/05/11,Mildura,7,26,51,21,21.1,9,8,25,26.1,26.2,10,1.3,,,5,
20/05/01,Melton,6,2.5,4.6,16,7,7.5,35,31,35.1,8,5.5,19,41,35.2,10,
